NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,27,15,2,4.828,1,227,114,2,0.5,63.015,15.1,0.529,3.642,-1.805,0.792,70,2.592,1,228,168.511,591,1506.649,591,228,228,58.901,2,1,0,0,6,6,6,1,51.998,2.449,0,12.245,-4.592,2.661,6,7.667,1,6,8.292,46,122.093,46,6,6,1.55,0.059,4.12,2.631534269,0,6,101
Degenerating,1,0,0,0,55,60,2,14.448,1,1585,793,2,0.5,157.48,39.561,0.654,1.954,0.877,0.425,538,2.501,0.996,1549,3452,2861,3464,3966,1579,1586,400.782,44,58,2,13.319,1,68,18.889,9,147.32,13.038,0.888888889,4.017,1.308,0.873,92,5.035,1,170,522,446,552,856,170,170,42.959,0.161,7.042,10.719,26.702,170,1056
Degenerating,0,1,2,1,36,53,8,0,3518,3518,3518,1,0,54.819,33.275,0.629,2.663,-1.589,0.579,186,0.949,0.68,2393,1141.698,3338,8319.696,3338,2393,3518,908.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2065
Degenerating,0,1,2,1,36,55,6,0,3206,3206,3206,1,0,85.812,44.761,0.619,2.101,-1.246,0.457,330,1.319,0.855,2741,1372.94,4230,10616.78,4230,2741,3206,828.23,36,54,5,9.025,1,973,151,7,161.479,32.512,0.857,2.261,-0.921,0.491,408,2.911,1,1057,925.23,3077,7796.373,3077,1057,1057,273.063,0.56,0.748,32.969465,0,1057,1887
Degenerating,1,0,0,1,73,24,4,8.317,2,2991,1496.5,2,0.5,69.628,44.602,0.735,1.983,1.359,0.431,150,1.174,0.873,2330,3400,2693,3400,3515,2612,2993,756.331,68,21,2,8.741,1,449,62.778,9,138.898,23.77,0.888888889,2.72,1.14,0.591,170,3.244,1,559,1334,1124,1370,1833,565,565,142.775,0.258,1.273,18.87731694,6.481,565,2192
Degenerating,0,1,2,1,34,82,7,0,3888,3888,3888,1,0,78.341,44.91,0.581,2.114,-1.261,0.459,306,1.164,0.803,3124,1546.564,4527,11284.99,4527,3124,3888,1004.416,33,73,6,11.748,1,176,20,19,200.967,19.494,0.947,3.121,-1.008,0.678,198,4.737,1,380,468.834,1800,4633.176,1800,380,380,98.168,0.186,1.014,9.773639607,0,380,2047
Degenerating,1,1,3,1,30,91,3,0,1678,1678,1678,1,0,121.868,40.306,0.634,2.03,0.979,0.001,400,2.069,0.989,1548,3208,2373,3208,3471,1660,1678,424.031,25,91,2,10.297,1,770,79.4,10,168.128,28.178,0.9,2.434,0.943,0.001,424,3.29,1,784,2024,1618,2096,2612,794,794,200.644,0.701,2.299,47.31823853,6.708,794,1132
Degenerating,0,1,2,1,30,44,6,0,1761,1761,1761,1,0,74.763,38.337,0.607,2.3,-1.319,0.5,224,1.47,0.942,1658,849.766,2588,6485.79,2588,1658,1761,454.932,28,42,6,0,887,887,887,1,115.384,29.531,0,2.397,-1.044,0.521,236,2.467,0.994,882,674.977,2188,5526.8,2188,882,887,229.145,0.8,0.368,50.36906615,0,887,1109
Degenerating,0,1,2,1,33,64,7,0,2577,2577,2577,1,0,78.43,43.251,0.488,2.099,-1.241,0.456,312,1.336,0.899,2316,1172.604,3444,8983.063,3444,2316,2577,651.208,26,25,5,7.722,1,9,3.1,10,184.656,5.568,0.9,7.083,-1.591,1.539,42,10.323,1,31,63.483,320,880.133,320,31,31,7.834,0.031,3.117,1.202995049,0,31,990
Degenerating,0,1,2,1,48,39,7,0,1623,1623,1623,2,0,90.288,42.16,0.928,6.717,-3.978,1.46,170,2.817,1.684,1348,709.087,2224,5849.044,2224,1348,1623,410.132,23,18,1,3.818,18,47,23.25,9,192.542,11.194,0.875,14.694,-4.507,3.194,38,12.925,2,67,95.624,456,1249.03,456,67,67,16.931,0.234,1.445,4.128183122,0,67,582
Degenerating,1,1,3,1,52,24,5,7.673,1,913,305,3,0.667,106.831,29.312,0.574,2.668,1.132,0.001,244,2.319,0.979,786,1852,1299,1870,2122,896,915,231.22,36,15,5,7.308,2,225,49.2,5,99.319,15.684,0.8,3.782,1.423,0.004,106,3.423,1,231,614,478,650,842,246,246,62.164,0.484,1.797,26.88521754,14.457,246,508
Degenerating,1,1,3,1,45,55,5,0,2660,2660,2660,1,0,104.823,48.951,0.704,1.805,1.033,0.392,406,1.605,0.966,2366,4134,3073,4140,4268,2569,2660,672.182,41,49,3,9.416,1,101,6.25,40,300.646,15.811,0.975,3.532,1.029,0.768,242,7.124,1,250,858,855,1026,1781,250,250,63.175,0.143,1.517,9.398496241,10,250,1747
Degenerating,0,1,2,1,15,23,4,5.629,2,332,113.333,3,0.667,66.053,17.792,0.312,3.699,-1.726,0.804,78,2.341,0.976,332,236.168,796,2020.054,796,332,340,87.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Degenerating,1,1,3,1,37,72,0,0,644,644,644,1,0,14.823,25.377,0.598,2.577,0.94,0.002,350,0.699,1,644,1766,337,490,450,644,644,162.739,35,46,0,9.223,1,39,9.5,12,29.015,10.677,0.916666667,4.589,1.335,0.009,90,1.947,1,114,392,151,200,222,114,114,28.808,0.302,1.131,17.7019645,22.804,114,377
Degenerating,1,1,3,1,31,66,5,15.115,1,1935,968,2,0.5,87.262,39.019,0.687,2.202,1.17,0.001,294,1.579,0.923,1570,2954,2086,2978,3056,1787,1936,489.227,21,57,3,8.094,1,53,15.727,11,158.939,13.153,0.909090909,3.993,1.313,0.006,102,5.266,1,173,526,487,574,911,173,173,43.717,0.14,3.962,8.935933626,10.344,173,1232
Degenerating,0,1,2,1,50,24,9,0,1986,1986,1986,1,0,78.391,37.623,0.584,2.369,-1.272,0.515,216,1.457,0.893,1774,1064.274,2894,7469.554,2894,1774,1986,501.862,43,19,7,7.739,1,102,14.333,12,134.774,13.115,0.917,4.121,-1.284,0.896,96,4.727,1,172,247.98,813,2149.394,813,172,172,43.464,0.163,2.869,8.660548119,0,172,1054
Degenerating,1,1,3,1,45,66,7,0,2262,2262,2262,1,0,127.229,47.403,0.691,1.764,0.909,0,418,1.927,0.998,2174,4218,3057,4236,4359,2257,2262,571.607,30,47,4,8.923,1,7,1.833,12,222.16,4.69,0.916666667,7.941,3.64,0.045,38,13.091,1,22,48,110,120,288,22,22,5.559,0.015,0.616,0.97252133,19.9,22,1464
Degenerating,1,1,2,0,48,50,3,0,2186,2186,2186,1,0,83.937,43.364,0.614,1.932,1.206,0.001,294,1.477,0.951,1940,3108,2406,3156,3229,2079,2186,658.847,45,43,1,8.098,1,54,6.65,20,215.654,11.533,0.95,4.359,1.355,0.008,144,7.045,1,133,428,461,536,937,133,133,40.085,0.115,3.586,6.084113611,18.028,133,1156
Degenerating,1,1,3,0,44,16,1,7.624,6,110,53.75,4,0.75,143.567,14.663,0.5,3.714,1.188,0.807,108,4.577,1,215,672,570,684,984,215,215,54.33,4,7,0,0,13,13,13,1,72.354,3.606,0,9.463,2.366,2.057,14,7.385,1,13,52,46,52,96,13,13,3.285,0.163,4.196,6.046383214,35.917,13,80
Degenerating,1,1,3,0,50,56,3,0,1735,1735,1735,1,0,147.564,41.653,0.602,1.854,0.902,0.403,500,2.324,1,1733,3562,3037,3568,4032,1735,1735,438.434,44,47,2,9.873,1,79,9.5,12,134.765,10.677,0.916666667,4.589,1.53,0.997,50,5.421,1,114,342,324,372,618,114,114,28.808,0.122,7.277,6.571,18.439,114,935
Degenerating,0,1,2,1,26,34,5,0,1352,1352,1352,1,0,46.585,24.379,0.64,3.156,-1.841,0.686,114,1.171,0.76,1028,518.32,1583,4149.63,1583,1028,1352,341.65,26,34,4,0,933,933,933,1,62.329,27.031,0,2.724,-1.507,0.592,186,1.609,0.922,860,496.006,1501,3930.142,1501,860,933,235.769,1.016,0.4,69.00892726,0,933,918
Degenerating,0,1,2,1,10,12,3,0,136,136,136,1,0,45.287,11.406,0.395,5.117,-2.263,1.112,20,2.471,0.985,134,106.088,336,884.708,336,134,136,34.367,10,10,3,3.273,2,81,41.5,2,50.802,9.11,0.5,5.292,-2.301,1.15,14,3.145,1,83,73.249,261,696.388,261,83,83,20.974,1.407,0.274,61.02947595,0,83,59
Degenerating,0,1,2,1,16,18,4,0,672,672,672,1,0,36.164,18.673,0.617,3.703,-2.211,0.805,6,1.249,0.804,540,269.974,839,2108.129,839,540,672,173.603,15,16,2,4.367,1,190,95.5,2,64.788,13.82,0.5,3.864,-1.732,0.84,42,2.801,1,191,144.644,535,1371.787,535,191,191,49.342,0.5,0.371,28.42231989,0,191,382
Degenerating,1,0,0,0,56,105,5,0,3274,3274,3274,1,0,153.206,56.173,0.636,1.575,0.837,0.342,676,1.928,0.988,3114,5862,4645,5868,6313,3234,3274,827.34,51,96,4,14.437,1,445,35.478,23,264.155,28.566,0.956521739,2.381,0.83,0.518,486,4.406,1,816,2342,2079,2450,3595,816,816,206.203,0.394,2.215,24.92361061,8.602,816,2072
