NMJCounting,Muscle,Fenotype,Genotype,Maturity,Bounds0Red,Bounds1Red,Bounds2Red,CCDistRed,CCSize0Red,CCSize1Red,CCSize2Red,CCRed,FragmentationRed,Compactness0Red,Compactness1Red,MeanIntensityRed,ShapeFactor0Red,ShapeFactor1Red,ShapeFactor2Red,SkeletonLengthRed,SurfaceVolumeRatio0Red,SurfaceVolumeRatio1Red,Surface0Red,Surface1Red,Surface2Red,Surface3Red,SurfaceDil0Red,SurfaceDil1Red,Volume0Red,Volume1Red,Bounds0Gr,Bounds1Gr,Bounds2Gr,CCDistGr,CCSize0Gr,CCSize1Gr,CCSize2Gr,CCGr,Compactness0Gr,Compactness1Gr,FragmentationGr,ShapeFactor0Gr,ShapeFactor1Gr,ShapeFactor2Gr,SkeletonLengthGr,SurfaceVolumeRatio0Gr,SurfaceVolumeRatio1Gr,Surface0Gr,Surface1Gr,Surface2Gr,Surface3Gr,SurfaceDil0Gr,SurfaceDil1Gr,Volume0Gr,Volume1Gr,IoUGr,ComDist,Coverage,HausDist,NIntersection,NUnion
Degenerating,0,1,2,1,35,56,6,0,2597,2597,2597,1,0,61.54,36.712,0.577,2.366,-1.477,0.514,194,1.134,0.804,2087,972.079,2945,7375.376,2945,2087,2597,670.902,32,53,4,10.762,1,184,30.111,9,142.407,16.462,0.889,3.438,-1.174,0.747,132,4.214,1,271,296.277,1142,2940.665,1142,271,271,70.009,0.2,2.657,10.43505609,0,271,1355
Degenerating,0,1,2,1,52,46,8,9.931,2,2707,1354.5,2,0.5,89.181,42.887,0.523,2.102,-1.169,0.457,402,1.432,0.879,2381,1316.046,3879,10122.35,3879,2381,2709,684.564,48,41,6,9.671,1,174,21.625,24,220.481,22.782,0.958,2.79,-0.896,0.606,278,4.541,1,519,632.305,2357,6318.017,2357,519,519,131.151,0.414,1.198,19.15832559,0,519,1253
Degenerating,0,1,2,1,22,67,6,0,1763,1763,1763,1,0,88.353,36.336,0.457,2.315,-1.245,0.503,278,1.642,0.908,1601,931.99,2895,7273.742,2895,1601,1763,455.449,15,54,3,9.88,1,49,10.4,10,154.588,10.198,0.9,4.732,-1.344,1.028,68,6.125,1,104,151.421,637,1654.124,637,104,104,26.867,0.17,2.471,5.89901394,0,104,610
Degenerating,0,1,2,1,19,66,3,10.035,2,1033,347.333,3,0.667,105.513,31.263,0.391,2.4,-1.155,0.522,226,2.202,0.979,1020,710.547,2295,6056.949,2295,1020,1042,263.313,0,0,0,0,1,1,1,1,76.368,1,0,22.251,Inf,4.836,2,18,1,1,2.949,18,50.13,18,1,1,0.253,0.006,3.174,0.096083368,0,1,168
Degenerating,0,1,2,1,18,22,1,0,225,225,225,1,0,90.376,15,0.366,3.658,-1.424,0.795,120,3.311,1,225,181.629,745,1930.036,745,225,225,58.126,0,0,0,0,1,1,1,1,76.368,1,0,22.251,Inf,4.836,2,18,1,1,2.834,18,48.186,18,1,1,0.258,0.042,3.234,0.443863331,0,1,24
Degenerating,1,1,3,1,66,54,7,10.41,1,3201,1601,2,0.5,107.843,53.046,0.688,1.76,1.007,0,400,1.537,0.958,2746,4798,3440,4810,4922,3067,3202,809.145,32,39,5,12.326,1,2,1.25,4,143.108,2.236,0.75,13.012,6.506,0.2,10,16,1,5,10,28,28,80,5,5,1.263,0.002,3.501,0.156090688,23.791,5,2042
Degenerating,1,1,2,0,51,53,5,0,2279,2279,2279,1,0,177.078,47.739,0.572,1.707,0.742,0,754,2.396,1,2258,5196,3959,5268,5461,2279,2279,686.876,50,50,4,10.177,1,937,75.231,13,211.358,31.273,0.923076923,2.244,0.843,0.001,556,3.575,1,977,2600,2272,2732,3496,978,978,294.763,0.717,1.381,42.9135681,11.662,978,1364
Degenerating,1,1,3,1,52,53,5,10.746,1,3004,501.5,6,0.833,122.504,52.762,0.687,1.675,0.955,0,490,1.709,0.974,2769,4856,3757,4904,5141,2932,3009,760.374,0,1,0,0,2,2,2,1,66.287,1.414,0,17.661,3.532,0.5,4,13,1,2,10,10,10,26,2,2,0.505,0.001,8.339,0.066414685,44.091,2,1891
Degenerating,0,1,2,1,15,19,5,0,513,513,513,1,0,38.368,15.712,0.607,4.308,-2.194,0.936,40,1.421,0.784,402,244.659,729,1905.016,729,402,513,129.635,13,15,3,0,224,224,224,1,45.633,13.683,0,4.485,-2.072,0.975,16,2.103,0.942,211,150.716,471,1238.169,471,211,224,56.605,0.78,0.161,43.66490531,0,224,287
Degenerating,0,1,2,1,20,62,6,0,2239,2239,2239,1,0,55.026,31.25,0.593,2.796,-1.601,0.608,212,1.106,0.758,1698,920.033,2476,6381.196,2476,1698,2239,565.795,16,44,5,8.879,2,12,5.429,7,142.94,6.164,0.857,6.618,-1.677,1.438,42,8.132,1,38,66.257,309,844.922,309,38,38,9.603,0.031,2.844,1.697257841,0,38,1223
